index,TotalSize,Resident,Shared,App_TotalSize,App_Resident,App_Shared,AnonHugePages,Anonymous,KernelPageSize,Locked,MMUPageSize,Private_Clean,Private_Dirty,Pss,Referenced,Rss,Shared_Clean,Shared_Dirty,Swap,SwapPss,App_AnonHugePages,App_Anonymous,App_KernelPageSize,App_Locked,App_MMUPageSize,App_Private_Clean,App_Private_Dirty,App_Pss,App_Referenced,App_Rss,App_Shared_Clean,App_Shared_Dirty,App_Swap,App_SwapPss,Active,AnonPages,Bounce,Buffers,Cached,CommitLimit,Committed_AS,Dirty,Inactive,KernelStack,Mapped,MemFree,MemTotal,Mlocked,NFS_Unstable,PageTables,SReclaimable,SUnreclaim,Shmem,Slab,SwapCached,SwapFree,SwapTotal,Unevictable,VmallocChunk,VmallocTotal,VmallocUsed,Writeback,WritebackTmp
52,561211,17779,17123,313568,22828,19045,0,4204,5004,0,5004,3320,1316,7893,48644,51732,46164,932,28100,18048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,332372,0,67888,1224956,3478960,98031684,16,-1,31360,483740,76372,2763624,0,0,49120,46616,82768,4060,129384,104684,1249320,2097148,12024,247561408,251658176,259936,0,0
53,561211,17779,17123,313568,22828,19045,0,4204,5004,0,5004,3320,1316,7898,48680,51732,46164,932,28100,18048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,340504,0,67904,1229036,3478960,98031268,4336,-1,31168,485312,64132,2763624,0,0,49212,46616,82660,4064,129276,105556,1250452,2097148,12024,247561408,251658176,258916,0,0
54,561211,17779,17123,313568,22828,19045,0,4204,5004,0,5004,3332,1320,7921,48708,51732,46148,932,28100,18048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,294996,0,68020,1215336,3478960,95694876,600,-1,30464,440828,129688,2763624,0,0,46724,46616,82604,192,129220,105920,1251452,2097148,12024,247561408,251658176,254188,0,0
55,561211,17791,17123,313568,22828,19045,0,4280,5004,0,5004,3332,1396,7997,48964,51808,46148,932,28052,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,307808,0,68020,1221956,3478960,95696404,568,-1,29472,446460,110836,2763624,0,0,46960,46620,82576,5692,129196,108180,1260648,2097148,12024,247561408,251658176,254380,0,0
56,561211,17791,17123,313568,22828,19045,0,4328,5004,0,5004,3336,1440,8045,49016,51856,46148,932,28016,17964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,306732,0,68052,1222128,3478960,95696444,0,-1,29488,446736,111704,2763624,0,0,47008,46620,82580,5692,129200,108128,1261504,2097148,12024,247561408,251658176,254272,0,0
57,561211,17791,17123,313568,22828,19045,0,4328,5004,0,5004,3348,1440,8103,49032,51856,46136,932,28016,17968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,316628,0,68216,1222580,3478960,96355408,380,-1,28944,403956,101580,2763624,0,0,46088,46624,82528,5692,129152,109072,1308428,2097148,12024,247561408,251658176,255292,0,0
58,561211,17791,17123,313568,22828,19045,0,4348,5004,0,5004,3344,1460,8086,49064,51876,46140,932,28000,17948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,344488,0,68544,1222316,3478960,97592376,640,-1,28928,428484,71336,2763624,0,0,46988,46624,82492,5684,129116,109264,1309640,2097148,12024,247561408,251658176,256312,0,0
59,561211,17791,17123,313568,22828,19045,0,4360,5004,0,5004,3340,1472,8090,49080,51888,46144,932,27996,17944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,354220,0,68860,1223248,3478960,96382508,480,-1,29568,428576,59764,2763624,0,0,46936,46624,82484,5684,129108,111108,1315268,2097148,12024,247561408,251658176,255228,0,0
60,561211,17801,17123,313568,22828,19045,0,4360,5004,0,5004,3340,1472,8084,49016,51888,46144,932,27996,17944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,348956,0,69028,1223636,3478960,95694568,628,-1,29472,428468,67712,2763624,0,0,46544,46624,82480,5692,129104,111096,1315104,2097148,12024,247561408,251658176,254188,4,0
61,561211,17801,17123,313568,22828,19045,0,4360,5004,0,5004,3336,1472,8080,49060,51888,46148,932,27996,17944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,348360,0,69056,1224012,3478960,95695904,692,-1,29408,429260,68416,2763624,0,0,46636,46624,82480,5692,129104,111044,1313080,2097148,12024,247561408,251658176,254188,0,0
62,561211,17792,17123,313568,22828,19045,0,4296,5004,0,5004,3316,1412,7992,48564,51824,46164,932,28060,18008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,377816,0,69700,1229200,3478960,97818684,1152,-1,30656,464212,54108,2763624,0,0,48472,46624,82484,7880,129108,106844,1310636,2097148,12024,247561408,251658176,258032,0,0
63,561211,17751,17123,313568,22828,19045,0,4132,5004,0,5004,3312,1364,7936,48600,51660,46052,932,28228,18065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,354252,0,69900,1235980,3478960,97845612,1420,-1,31120,480784,47484,2763624,0,0,48784,46624,82484,17840,129108,99384,1281736,2097148,12024,247561408,251658176,258916,0,0
64,561211,17732,17123,313568,22828,19045,0,4048,5004,0,5004,3304,1336,7898,48648,51576,46004,932,28312,18102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,347100,0,69976,1227880,3478960,97857112,1732,-1,31424,488444,46980,2763624,0,0,49028,46624,82628,9884,129252,107804,1255320,2097148,12024,247561408,251658176,271672,0,0
65,561211,17732,17123,313568,22828,19045,0,4056,5004,0,5004,3304,1344,7905,48652,51584,46004,932,28308,18098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,333496,0,70036,1227960,3478960,97956972,468,-1,31472,474720,49688,2763624,0,0,49072,46624,82704,9972,129328,109668,1243208,2097148,12024,247561408,251658176,271708,0,0
